hex_id,adjacent_hex_id,adjacent_position
c151c79af5585f6a,60386caadee9e117,1
3a1ce6f60c8696eb,296c9cac8e76181c,1
aada8f5ae067d90a,92ceee4ee19fddbc,1
4375f4117407765f,bc033d6fb54b3150,1
2bc0e4d5556e7b48,3a5be178a8d51754,1
ace3bb4a658ef318,000b8571cd3d18cf,1
e3c98397598c1c76,f62f5bcb934cc4d2,1
5271bff5de1ffc6e,7b7930a75b961826,1
23ab47ea30b86a2e,329ed8edac35b3d1,1
efab0dee4b2e5d4b,d1247af8511cab70,1
d5905a7da4f635ce,811936317c9b61ec,1
4041553b7ed092e6,c5568ab7803a84b3,1
f1b6c8117696673e,3c87df499fb20dfe,1
7e9ff7da4f408d2e,84703e002e680363,1
e8c28e64215c5e9c,5bd6cd9c5da1eeed,1
04f385c0c65f3215,1ec299ac72244ffa,1
80a4533cbfb9b099,30ed27f20cbd9592,1
9358fc61e324214c,1012a1fcf83e15c2,1
0fce32b720c091ba,65523a0120dad734,1
11e8bf5e1126df77,88d26853faf61f01,1
46d449c158d95069,23a9d3254e6cee00,1
5d9a1dd89fb6fa1e,48566cb3229bf514,1
ce3c8255c6db1c58,887eaff37f5025c7,1
c6f4de53556ead29,8498e7271d8360ee,1
42453274fd5765cf,03e60c2dddff1b12,1
d33865f4e85b1914,a2f5a79cc0afe0e9,1
2098489ed5fd3894,4d2d831b13c0b39b,1
e95b07d58f4e9732,ae9346d3058dfea0,1
60687f03d6b806d9,d65274cc0f7f6751,1
bd148cd8c66ddd7d,53ad006ab9d158c6,1
a0b6b2cfb8d8e42c,1d5cad1bcce00e99,1
521d0f618c4ff323,91ddb22e11f8988f,1
e6e61d25036d84a5,0dff5fcd86976c5a,1
719a79192de1337e,6a648eae9115a0ab,1
a8681aa01f78544a,a743430724a0ac35,1
bf701d7b5d55e45d,3f4569a5017b549b,1
0bf32a264e0560a4,1519a14b9f87f9eb,1
9f93ae59725bf96d,8e91d912dbcad0ee,1
520639c2f3567356,a4510d8d31a6e29b,1
755319a7866d62d4,9ddd02e4ffe66799,1
f0ece52f91ff0b4c,37291c50e5ee8664,1
26cdc154fea49d74,15bab5f26a435392,1
1ce1163913e5e651,c49864c51e85bd16,1
43b8d011f5b659d7,339345eab7dcfa4c,1
731702c30f228d13,fc1fdb7cd7ffa52d,1
84c29341ca1bddbe,f3e3cbeb89f5febd,1
eb77512b32246471,4b35686f974f0f6b,1
c307835f6d709076,3932ceb958e02992,1
2394909d344721b7,34ec368677cf41e0,1
739842a1d11fe778,ab7915fadd7a2529,1
54f0dbb54c2a6cfb,bc8495499e076192,1
30bfb5d3b8bea79c,93ee26a7cc3a0f32,1
09ee1dad790f8dac,2fdce81c8ce48731,1
5d9bf451709aa7a9,b3d92696500692c3,1
74ef256f7a1eb8b5,2a164714dec539e9,1
23ae7e65c851599a,152b9bd19b5cc371,1
2a266e2e973e5ae6,ac1f9f596dbb67c7,1
d2a52f3ac80f2a12,3063aac060946ecc,1
f91a5c3da1590fa6,8daa41d459cccd86,1
698998e10995dc34,03b8db66705a2a3e,1
126b4f0c2e4305ed,02090b84c1487274,1
11f41ae510f70d71,3d8fc5e61a5f35a5,1
f011b48efe856538,0e59097c11a328fb,1
43b301b7a8f53873,af0eb765972d5f9f,1
fd6585e33b158be3,aa74f624b5c02623,1
e3b9a10a413ab634,124fc04941f77db3,1
a1ebcce01176587a,b96858f0d2710ac2,1
20fac817a0229795,fb0b17502d74e16d,1
8e553fc7d045e1f3,01d8f15404f7a7fe,1
7a275b6003adfc7c,e6bbf63a3817a646,1
3475135ee39d855f,c102bb4db78cacac,1
6299c796d382f264,20a3b2775b28fe96,1
2fd0072498e7e63b,2638807fdf907e58,1
48566cb3229bf514,c8779a225ac96622,1
e342c49b2fccba8b,343a82761aaa124c,1
0bf85c6ee64d8e82,6f41a5c0c7302e9b,1
22aa7000ad1cd776,d9ad6b8c1fcf89e7,1
aa2d75f939521ac0,839d90bfdbbe3453,1
380165f83140125c,71c812aa03dab8b5,1
c7c44543ff43fbd6,fd482be88a19d112,1
6a11025b41a86c86,28ef13434684e573,1
3519c4c454823872,16505fca8af1a054,1
4ce44aeea4ebe436,5030cb340ea34f18,1
446967350271bf48,8feb2d84dc29299a,1
570050cee0259738,23df6f068f4421c6,1
52e787701818a418,c49cac1901dce4a6,1
517faa6207c13f5c,145c335843b6d577,1
39352215a5b697ad,eb580e07b49eb56f,1
f826bb23c6b827b6,78f8666197a59b98,1
afdd29734865b454,42637b7b8f2df4c7,1
08584f956cdc2bda,c6e6cd3fc8201552,1
c04e16503ca62b57,2fdc2c0e3a975ac7,1
fa3d639f5cb76d47,e193951e51d1a2b3,1
ba8217ffc4bb0ca7,ac2b0a43d869a6d7,1
9179e3661c6423ab,c64dead508b4522f,1
76b4ad9b394d17ae,23d0431a7e119c29,1
a253ea6ae9151722,c9f6ce2848edab19,1
ff860ea331f57ef2,8d81194f579cfbb2,1
9925b2f98ce3a5bc,9d23dfcea1155312,1
63fed307af3a79b3,ec9042389e728714,1
48070fd151b4e010,c64fa752ab1d9bcc,1
cbfb354536bc313b,85f4abbec30d815d,1
5e2081edf45da5c8,28616e992c655533,1
c2ed2b91f655e01e,cb9b32dd08cfaf53,1
c2befe7861a62cb7,80fac3a7db9e4991,1
3868b177c7084358,7163407e2759afd2,1
87fb36ff3ada6aec,a5968662556d6e79,1
c157222c95f5e5d0,fdcc65aa57747d23,1
6c8b6c1664c8c75b,8584f4682edbfb74,1
3a625fe87eb4593c,63dc909d27819a85,1
c8f466345e7cfa85,f688504a98a2d0b7,1
8cbcd894abcb6cfc,04fde9d82aa2e50c,1
9166410b4683aa98,816b3f915a4bd55c,1
f2909d2ecb06c621,16d4a02501f6e138,1
f7de5b6769b92b8b,dbafb714463e0bbb,1
132975406a079270,ba4fe87836567aeb,1
a4f2fca744175b37,ca8819e2fa9adca5,1
193b46ab0011736c,fc5977d13e331e63,1
3d2b6e7ddb977b07,14f4ad2d7650e1c8,1
b29528b95ad8ac71,f9d901acf70fceee,1
5fdd44d1a92470ac,7a31dfcd1f0ae619,1
d4d825c13d955898,5971ec92402ed0f7,1
543458ba5110eb4e,70a08db4598b2ac5,1
7de4f0068e4e7a13,46ff3139a8853e11,1
9ce062f29e2eed2d,a1a5abe88baac7dd,1
f093092c379af3b4,e5de0c165e631647,1
23d0431a7e119c29,11d448f6ff4193e1,1
4b80f2769491f57c,15a1e6aa2bba56fb,1
906225cbe2ddcd20,bfceaf3e2359790a,1
d554c2448f248b9e,24a36376c0e48be6,1
7f6668253d3660c5,a151a48a2c9a0533,1
d336da872bc3a2e5,9daa808ce7eff32d,1
c5fd34e815793c17,96a486e50b717dd7,1
5d195d7e9b87d62e,bf701d7b5d55e45d,1
a232d421b7e268ee,9af7ec634ec676bb,1
28efc7475294ccd3,ea727f559df91c01,1
d7a5d092040e4a89,0a5dbbbdb4c4e45b,1
db271459d639dffa,a68573362f0f9694,1
b82c212dd5f4a8fe,7e39e4f6d4209d09,1
eaff7f7ec55a6dd2,f953c27bce19c460,1
44d42b01e6e9499d,0109309edccc1566,1
f7a9e964d6d31cda,857c8aa91d704fd8,1
bdeb5a1c11b0b482,e40366eedea0e60f,1
629c26c679c16028,686ca7def39d048d,1
529dd5d27b611bd8,ccf000ef1f9c9e12,1
f6a03d9b8206805f,4a7f35153e47fcc4,1
94628e6d25218982,d431e2f2976a3fa4,1
87f6b30e29bdd5f0,fde2c7a65ded91d1,1
2432e17bad75492e,b8baf24e7bb2a637,1
b97752fda8f03668,a7b0ea1c695a9eab,1
b88b495b4a29e5ff,5e5d4d66d6a02317,1
e4e5af566e4a39bc,6c970de728ac0d07,1
ae2a79326f5d6567,3a1ce6f60c8696eb,1
2ed10f359f0eb57c,d06f625f38d9bfb2,1
11506daa7b1c4cc6,c4eee887bf7c773d,1
493e42bf3149ebbd,5bec641e5a3b83c3,1
254b50014e29e1ed,78bb7fb1b42591a0,1
35bb835cf45a4d44,cab39711b6174a71,1
6857d60044e51154,316a94cba76e91a3,1
8108b0fe7a5d0f59,d33865f4e85b1914,1
663f9da178e1c8cf,64373ba9f75bc33e,1
b64a8e9690d5095f,7aeb71740baa42cb,1
643e965a5de887d1,e5b14462d577beee,1
a317d32d6af342a6,025971cc0866b179,1
