pickup_weekday;appearance;first_grid;grid_cnt
1;0;00543f55232a3ae3;63
1;0;0102074a005f3ef6;2
1;0;016937f21a2aa752;84
1;0;01a83fde5ea99d5c;4
1;0;01c074a9828a20fb;27
1;0;01ff9aadfb203451;1
1;0;0223a50878557fc9;8
1;0;02cba94d3505cf2d;11
1;0;0312d7104242036d;67
1;0;037bb3826740324e;4
1;0;03d6479ddba13b66;2
1;0;03e38ba25a4f8bd5;6
1;0;04417fb63aed6723;335
1;0;04f385c0c65f3215;1
1;0;0501af87f2ae3fa2;8
1;0;059c75b12c7cfd30;7
1;0;06b7dfef8722f607;4
1;0;0734d102efc65f75;1
1;0;0876fad9a290ad6f;4
1;0;0883e8b50f19be6e;1
1;0;090d68df506b9670;104
1;0;099a65d6ef85bb43;1
1;0;09ae07f462e4a639;5
1;0;09cb1e44bf02ddaf;1
1;0;09e0708be0648e88;3
1;0;0b4f56e3addf4b93;2
1;0;0b86b53e61681fa2;3
1;0;0c608c7fb57f7453;3
1;0;0d3737cac500f237;7
1;0;0dbd17e538f5c8ad;2
1;0;0f653a322f7f2709;1
1;0;0fa6620ea06e92fe;8
1;0;0fcaaf3e771ed918;6
1;0;108b77076ecd04c5;1
1;0;111297464a0c9cc8;1
1;0;11506daa7b1c4cc6;77
1;0;11b13231f45a7c9b;1
1;0;123c5d751610d9a1;2
1;0;127d979915a239ac;108
1;0;1299e4a7eff212ae;50
1;0;12f85ad49aef912f;6
1;0;134f06cc41d3604d;7
1;0;13d2c910f22d49ce;4
1;0;145c335843b6d577;1
1;0;1499306da860a074;6
1;0;149ba10cb2775b02;11
1;0;151ad89f743009cf;3
1;0;1537982892eeebad;15
1;0;1549e920371041ac;1
1;0;158c64bfc10932ec;4
1;0;16c8d5e7153d2ce4;22
1;0;1807da3d0f1f9c97;64
1;0;18b075ab80d90f13;2
1;0;18bd100d7c5c6efb;1
1;0;18e11619062497f3;8
1;0;18ea6c37a09836c8;17
1;0;1a58df7312309bd0;10
1;0;1ad9effb25567560;1
1;0;1c2964e2331d94d2;8
1;0;1c52ec915be90dba;12
1;0;1c6a6f19ee29a807;2
1;0;1c6e372fb859797b;4
1;0;1c9fe1700f892084;87
1;0;1d4de1145aa14cd2;8
1;0;1d954ef0731a7d82;20
1;0;1dba13c5ef308dc9;21
1;0;1e1b4d1880ead206;10
1;0;1e3a35a767bfd376;2
1;0;1ec299ac72244ffa;3
1;0;20575517df08f8b1;4
1;0;2098f2600f7d9afa;68
1;0;21cc760ee9ff1b78;1
1;0;23b7aa7d0156eeea;22
1;0;23e35bb5e13d1fcf;1
1;0;23fae3f1f69dddfa;169
1;0;24b2cb1737723e8a;1
1;0;24f4a474b7acc788;6
1;0;2578eff22a77ea42;7
1;0;25af163cde886f41;3
1;0;263b56a28905264e;1
1;0;263f72924b83f561;3
1;0;268c1206dde1ba2b;1
1;0;26a416c853f0e598;1
1;0;26a60558fad2a01c;4
1;0;27443b0f793bef2d;4
1;0;274f1ce0deda795f;188
1;0;277751847f06ad46;1
1;0;27c98e0c67fee9c6;2
1;0;28129de1881e438e;45
1;0;299b29a524e74041;1
1;0;29a68d56e43abe15;3
1;0;29b558c1a02b6ebe;4
1;0;2b470649df69a897;77
1;0;2c3bd99e1aea3fcb;4
1;0;2d6f2fa3d9fd65b0;2
1;0;2debe6ae3fa8ef6d;130
1;0;2df9b76c3782b815;2
1;0;2e6b3010077a22bc;36
1;0;2e9b36f7a6e8627b;1
1;0;2eadb9d8f64572ff;144
1;0;2ed66b45dc347c3a;116
1;0;2efb3f83444bbb10;4
1;0;305fab5b6c6431f3;4
1;0;310136fe4409c87c;3
1;0;310c5bac13100430;17
1;0;31886db5b146394a;93
1;0;31cba454d35eabc5;5
1;0;31d8d28345f265be;2
1;0;329b0aefba61c434;3
1;0;32e3f2fabff90c49;2
1;0;345abca9ca155920;1
1;0;34f5d302f8c70982;1
1;0;3582f2352d131a7a;1
1;0;361516d75566d940;80
1;0;367c8942f852ac2f;5
1;0;367e0efa16933a7b;1
1;0;36dd8a1f5da00076;1
1;0;36f33d307ff912d2;1
1;0;370505695244d105;1
1;0;37291c50e5ee8664;4
1;0;379300c20ee553e4;12
1;0;37a6454275929d48;2
1;0;386c78bc3c226d88;28
1;0;390a600ae7dad222;48
1;0;3acc275279e27dad;2
1;0;3b57a6c7c13c41e6;3
1;0;3b6c59bbcd98275f;2
1;0;3b7be7b6774b122b;5
1;0;3b9c8d234c9b6b94;2
1;0;3cfbcf80c4f5a871;3
1;0;3dc3a0d7bd9f272c;26
1;0;3dc670e9372f8f1c;3
1;0;3e7e53dc222a7be6;5
1;0;3fbb34734ed326f4;1
1;0;4064efaeea8f671f;48
1;0;409476fcffd85353;2
1;0;4156c8ef20df8083;22
1;0;41871467c3c7b96a;2
1;0;41e70789361acb14;7
1;0;42f1a5c9ac09b75c;1
1;0;43c864ac3e55bdbf;1
1;0;445cf89fa4c94f1e;2
1;0;44b47a5cd2ce68c9;62
1;0;45133642c883ffeb;1
1;0;45bf102ab481029e;7
1;0;468eafafeb7f14d5;2
1;0;46c90c25534ab99a;160
1;0;46d436e0a83ebb99;6
1;0;47cf226bda921425;12
1;0;48f51a8a374cd4dc;1
1;0;49bcbf28db15d6a9;2
1;0;4a7a821ff32fa7b9;1
1;0;4a8cdca03a93f78c;1
1;0;4ac3b00a5d5abd4f;5
1;0;4acbf16402546104;43
1;0;4b539521f58a1b6b;1
1;0;4b6f2ddd673db412;24
1;0;4c0865213d634164;3
1;0;4d4771cec829688d;1
1;0;4db8f311f62e237a;32
1;0;4e6ab406af4a842b;26
1;0;4ec7c2e2e2fcc0e3;71
1;0;4f39d1385e334e04;13
1;0;4f844fd3fe6f0768;1
1;0;5078e86de18ccd3f;10
1;0;507be503ccbadd49;7
1;0;50b316a0d09d50fe;1
1;0;512f3c2e85d81bf3;14
1;0;513816d948c24316;1
1;0;52968024eb5a8c68;14
1;0;529dd5d27b611bd8;1
1;0;52c35514fca792c3;1
1;0;5358c7a092b2e920;1
1;0;53d332a2192d0870;25
1;0;53e5f5b4b51656aa;1
1;0;541104d3641295d1;196
1;0;54f0dbb54c2a6cfb;283
1;0;56582b62268c13a8;1
1;0;56779cab91597fda;1
1;0;571206063d7afe56;2
1;0;571321e8c81a9f49;1
1;0;57ca17982abafc77;4
1;0;57d92ad44de2d8cb;23
1;0;58beb238a84d91ed;16
1;0;5921b73ffa2acb93;14
1;0;5bc416b12315fec4;70
1;0;5ce3b643a2fce2e5;44
1;0;5e9ff70c8c2acbe2;1
1;0;5eae29422bb431e6;7
1;0;5ecb2b470050bf34;2
1;0;5eda87bfc02bc16c;1
1;0;5f61cd1f05d9e2fb;1
1;0;5ff970297f3ca58a;3
1;0;60e81e56344471a6;1
1;0;613f8d7f81beeff3;243
1;0;617fc087efff5182;19
1;0;61d7f41523f8183f;1
1;0;61fa97c4227a2d73;72
1;0;636ca81ba94c7710;21
1;0;63d737d2b0e002c2;5
1;0;640da10ce5dc3a31;10
1;0;641a3f669400dc3f;31
1;0;642f582cbe13d950;6
1;0;651d6571c2eb46c3;7
1;0;6732f22d15547417;29
1;0;674ca394ac845e91;14
1;0;677aa6c9a057914c;25
1;0;67b2547e426c235e;4
1;0;67d09795bf70520e;13
1;0;6848927f2328b2cc;19
1;0;69339be3db147069;51
1;0;6a2d5aa4298d1017;16
1;0;6a2e19aab9740e29;102
1;0;6a3f68002d34a157;3
1;0;6a637710aca04528;19
1;0;6b02c8327bb2f507;5
1;0;6b0cc24480e38c38;7
1;0;6b6d66e2dc5c90b7;21
1;0;6b91684aa7dc7101;57
1;0;6be60ad31e801f9d;7
1;0;6c02d478a91414bc;11
1;0;6c9cceeb05433818;64
1;0;6d82a7eb7fd74ea6;3
1;0;6d9549ae46c0c2e5;3
1;0;6ee7d0de09d28b9e;5
1;0;6f199f7e703992ed;1
1;0;6f6ef16c18b30149;18
1;0;6fd10d5159a5c917;61
1;0;6ff533dd43e66749;12
1;0;70496b7ad9dc3a66;1
1;0;7068b2be0bf09330;1
1;0;70a9bd34956a1534;7
1;0;714ae48496bcc332;1
1;0;7179ea6231b95e1a;82
1;0;722a58d81bc8a6d1;3
1;0;7249aaa7b0e0e07b;1
1;0;724a88670b965e5a;41
1;0;7263932d4b8ab305;7
1;0;7287fe5c7d4403bd;18
1;0;73f9ea19c4c5f934;11
1;0;7461298166b59abb;6
1;0;748821b1d59211cd;4
1;0;74de14f0d012c792;2
1;0;7514c3ee86caf57f;23
1;0;75887598514b7042;1
1;0;7630c17cb951e013;52
1;0;77a5fd6851636a52;4
1;0;7868818e60fe4e97;31
1;0;78aafeada01a51ab;18
1;0;78d5bb8363b1b653;3
1;0;7909e9fb0ac4b056;21
1;0;790e34b1204eb4a0;1
1;0;7944bbe4cdcde0c1;10
1;0;7947f2851f62f221;28
1;0;79a0fe15e57e8f67;6
1;0;79b14d85f93977e4;16
1;0;7ac6da1c1ea9b211;1
1;0;7b2f5d75bac4ba28;145
1;0;7b62704f2bd11818;7
1;0;7bf04e2844c9bc9b;1
1;0;7d01bb936352f91f;1
1;0;7d2684c9d84ed620;2
1;0;7d97c83cf797acab;1
1;0;7db96b441ba48546;1
1;0;7e17b1ecff26cca5;5
1;0;7e69074f34788f2c;43
1;0;7e7e0fcd80e96caa;1
1;0;7e8fbeed731678c7;3
1;0;7ec074160c4649e9;10
1;0;7ed4cc86a72c9316;3
1;0;7f0cc0e4bacef2d8;2
1;0;7f6b780eea93b409;140
1;0;7fc208ff79d67fd3;1
1;0;80848968b07d92c9;19
1;0;80c7d26ffcbabaab;1
1;0;80ce837ff676416e;3
1;0;820535708cc56c72;37
1;0;82eb2312ad9113f0;2
1;0;8338464bf1ae9ca4;8
1;0;8344f7bed9d41894;4
1;0;8389b3717e0e9195;3
1;0;83b441c671abf049;62
1;0;83eb00760ffd03fa;5
1;0;83fd0dce987f46ea;114
1;0;84c34609c2303eca;1
1;0;84db4aa185101b40;1
1;0;8553ca158376058b;2
1;0;8584f4682edbfb74;1
1;0;8639109257d7a656;77
1;0;86ad32231bdc5d44;1
1;0;86f7c52ac9beccc7;6
1;0;87949fdb1919c16b;1
1;0;886b4993982926ff;1
1;0;88832a801096a80c;10
1;0;889386c312e02f8a;8
1;0;88e0b7e48eddd6e7;12
1;0;88eaa153d7ad03a3;3
1;0;892b68202a3765b1;8
1;0;8a1313c9a61cacb2;3
1;0;8a1ea954f12ba2cc;1
1;0;8a3e4fd75e40f25f;1
1;0;8a878c747c4bb9c7;33
1;0;8a96f1f786c83282;5
1;0;8acb05f6f4a80ba3;9
1;0;8b626bd61f01a5ea;18
1;0;8ba6f1b7541f1b1e;3
1;0;8bb2c5ebcdb54493;139
1;0;8d0e34ab2df0fa74;3
1;0;8d41d1071874ad3e;7
1;0;8e1790041fe328d1;39
1;0;8ea3880ce46c719c;3
1;0;8f589348ea437b40;7
1;0;8fc180d61d059365;8
1;0;90023e59e1016b6a;8
1;0;90b162436d3fff7d;20
1;0;90e01b533621ea56;15
1;0;91666291d4b3757e;4
1;0;917129c78420d019;2
1;0;91c3d32a37c02041;1
1;0;9217e32fdf4b0d24;4
1;0;926ccf463313a954;1
1;0;926d27c14e84f5d0;4
1;0;93276aa32bb7a639;3
1;0;93667eabff8e791c;1
1;0;93aae5855eeb9a0c;1
1;0;942da3b21cde186b;44
1;0;9454535ceb37eba4;168
