driver_id,order_id,ride_start_time,pickup_weekday,pickup_hour,pickup_lon,pickup_lat,ride_stop_time,dropoff_weekday,dropoff_hour,dropoff_lon,dropoff_lat,reward,done
34e04ec00ddcfd1f25f23751cd962c22,,2016-11-22 18:09:32.000000,2,18,104.040586,30.666127,2016-11-22 18:15:30.000000,2,18,104.03634,30.6791,0,0
34e04ec00ddcfd1f25f23751cd962c22,,2016-11-22 18:44:11.000000,2,18,104.05553,30.71219,2016-11-22 19:01:58.000000,2,19,104.058174,30.716196,0,0
34e04ec00ddcfd1f25f23751cd962c22,,2016-11-22 19:24:26.000000,2,19,104.08398,30.67207,2016-11-22 21:25:11.000000,2,21,104.06726,30.66726,0,0
34e04ec00ddcfd1f25f23751cd962c22,,2016-11-22 21:40:34.000000,2,21,104.11607,30.65506,2016-11-22 21:51:08.000000,2,21,104.112744,30.648989,0,0
34e04ec00ddcfd1f25f23751cd962c22,,2016-11-22 22:07:43.000000,2,22,104.05725,30.65713,2016-11-22 22:20:29.000000,2,22,104.071396,30.65934,0,0
34e04ec00ddcfd1f25f23751cd962c22,,2016-11-22 22:29:12.000000,2,22,104.09139,30.66114,2016-11-22 22:38:13.000000,2,22,104.07891,30.65335,0,0
34e04ec00ddcfd1f25f23751cd962c22,,2016-11-22 22:46:55.000000,2,22,104.06033,30.65382,2016-11-22 22:51:04.000000,2,22,104.04999,30.64545,0,0
34e04ec00ddcfd1f25f23751cd962c22,,2016-11-22 23:06:28.000000,2,23,103.99923,30.68018,2016-11-22 23:41:13.000000,2,23,104.083596,30.641628,0,0
34e05444cda23a6e0a45f9f6a649ac02,7100012efff219eb7ec0dee919afc398,2016-11-18 16:41:52.000000,5,16,104.142098,30.669143,2016-11-18 16:52:41.000000,5,16,104.11457,30.66951,2.03,0
34e05444cda23a6e0a45f9f6a649ac02,8eecc40ac62edd4436a17c7c2591071e,2016-11-18 16:58:18.000000,5,16,104.11538,30.67059,2016-11-18 17:13:00.000000,5,17,104.12017,30.646189,2.07,1
