driver_id,order_id,ride_start_time,pickup_weekday,pickup_hour,pickup_lon,pickup_lat,ride_stop_time,dropoff_weekday,dropoff_hour,dropoff_lon,dropoff_lat,reward,done
2c06c93e643c87177bbb6b333c6aaa43,5efbb725ba50647737e5b85ada1ff6b5,2016-11-07 10:23:03.000000,1,10,104.040703,30.69421,2016-11-07 10:45:21.000000,1,10,104.0782,30.66589,3.21,false
2c06c93e643c87177bbb6b333c6aaa43,73b5f47da3ce54138af94b73e6a2a5a6,2016-11-07 09:46:07.000000,1,9,103.98625,30.61489,2016-11-07 10:14:51.000000,1,10,104.0428,30.69117,5.48,false
2c06c93e643c87177bbb6b333c6aaa43,ff6b46e9704c99dc39e17f1bbfba8ca1,2016-11-07 10:29:37.000000,1,10,104.04828,30.6782,2016-11-07 10:35:52.000000,1,10,104.065598,30.666607,1.8,false
2c06c93e643c87177bbb6b333c6aaa43,,2016-11-07 10:14:51.000000,1,10,104.0428,30.69117,2016-11-07 10:23:03.000000,1,10,104.040703,30.69421,0,false
2c06c93e643c87177bbb6b333c6aaa43,,2016-11-07 10:35:52.000000,1,10,104.065598,30.666607,2016-11-07 17:47:26.000000,1,17,104.12898,30.71377,0,false
2c06c93e643c87177bbb6b333c6aaa43,,2016-11-07 10:45:21.000000,1,10,104.0782,30.66589,2016-11-07 10:29:37.000000,1,10,104.04828,30.6782,0,false
2c06c93e643c87177bbb6b333c6aaa43,,2016-11-07 17:51:42.000000,1,17,104.1151,30.71681,2016-11-07 19:07:23.000000,1,19,104.04191,30.68425,0,false
2c06e1347c42c0fbca3c11f4237209d9,350a844ecb90e2fd91286a848db4ea71,2016-11-30 07:07:41.000000,3,7,104.11112,30.6736,2016-11-30 07:16:56.000000,3,7,104.10086,30.65271,1.79,false
2c06e1347c42c0fbca3c11f4237209d9,54c1c0c3b81af4bd9131286dd170da03,2016-11-30 07:23:42.000000,3,7,104.09342,30.64756,2016-11-30 07:30:42.000000,3,7,104.08647,30.66049,1.76,false
2c06e1347c42c0fbca3c11f4237209d9,6843383f916d16964d5310a6fe3ee70e,2016-11-30 07:35:27.000000,3,7,104.09252,30.6585,2016-11-30 08:08:36.000000,3,8,104.08502,30.5873,4.87,false
2c06e1347c42c0fbca3c11f4237209d9,b24ecf7db942cb02ca73a9c5b4b816d2,2016-11-30 18:25:56.000000,3,18,104.14766,30.65683,2016-11-30 18:43:40.000000,3,18,104.12194,30.66831,2.06,false
2c06e1347c42c0fbca3c11f4237209d9,c0629882499d14575369fb08c3261051,2016-11-30 17:51:02.000000,3,17,104.097534,30.674484,2016-11-30 18:15:40.000000,3,18,104.14771,30.6553,3.74,false
2c06e1347c42c0fbca3c11f4237209d9,e0b055202f1c260dbaa031294dc3f8b3,2016-11-30 18:50:27.000000,3,18,104.11589,30.68115,2016-11-30 19:04:38.000000,3,19,104.08973,30.65404,2.34,true
2c06e1347c42c0fbca3c11f4237209d9,,2016-11-30 07:16:56.000000,3,7,104.10086,30.65271,2016-11-30 07:23:42.000000,3,7,104.09342,30.64756,0,false
2c06e1347c42c0fbca3c11f4237209d9,,2016-11-30 07:30:42.000000,3,7,104.08647,30.66049,2016-11-30 07:35:27.000000,3,7,104.09252,30.6585,0,false
2c06e1347c42c0fbca3c11f4237209d9,,2016-11-30 08:08:36.000000,3,8,104.08502,30.5873,2016-11-30 17:51:02.000000,3,17,104.097534,30.674484,0,false
2c06e1347c42c0fbca3c11f4237209d9,,2016-11-30 18:15:40.000000,3,18,104.14771,30.6553,2016-11-30 18:25:56.000000,3,18,104.14766,30.65683,0,false
2c06e1347c42c0fbca3c11f4237209d9,,2016-11-30 18:43:40.000000,3,18,104.12194,30.66831,2016-11-30 18:50:27.000000,3,18,104.11589,30.68115,0,false
2c06e793b8bc19186ebe0ec07b3ad87b,3a5754f9f7ab6beb6dac5fa724a004f8,2016-11-22 07:16:13.000000,2,7,104.118431,30.700747,2016-11-22 07:23:56.000000,2,7,104.097141,30.703344,1.76,false
2c06e793b8bc19186ebe0ec07b3ad87b,798f6d5227479dec81ffd17f7e4268aa,2016-11-22 08:23:57.000000,2,8,104.127936,30.674057,2016-11-22 08:36:20.000000,2,8,104.104399,30.669559,3.19,false
2c06e793b8bc19186ebe0ec07b3ad87b,7cdf6278990f0d9490089c03532181ac,2016-11-22 07:59:19.000000,2,7,104.13738,30.63137,2016-11-22 08:19:45.000000,2,8,104.12662,30.67366,3.73,false
2c06e793b8bc19186ebe0ec07b3ad87b,cc1755551a66a7b2cd9894c0a05ab018,2016-11-22 17:47:02.000000,2,17,104.101801,30.703772,2016-11-22 18:15:57.000000,2,18,104.081657,30.61209,5.46,true
2c06e793b8bc19186ebe0ec07b3ad87b,cf8326a1f1bea4aa88bda278b92dc33e,2016-11-22 07:31:36.000000,2,7,104.107597,30.699379,2016-11-22 07:56:42.000000,2,7,104.1372,30.62997,5.18,false
2c06e793b8bc19186ebe0ec07b3ad87b,,2016-11-22 07:23:56.000000,2,7,104.097141,30.703344,2016-11-22 07:31:36.000000,2,7,104.107597,30.699379,0,false
2c06e793b8bc19186ebe0ec07b3ad87b,,2016-11-22 07:56:42.000000,2,7,104.1372,30.62997,2016-11-22 07:59:19.000000,2,7,104.13738,30.63137,0,false
2c06e793b8bc19186ebe0ec07b3ad87b,,2016-11-22 08:19:45.000000,2,8,104.12662,30.67366,2016-11-22 08:23:57.000000,2,8,104.127936,30.674057,0,false
2c06e793b8bc19186ebe0ec07b3ad87b,,2016-11-22 08:36:20.000000,2,8,104.104399,30.669559,2016-11-22 17:47:02.000000,2,17,104.101801,30.703772,0,false
2c071dd761cbd3cab2d1d48a7441e3b6,5618a999e820ead997272bf8157c59e6,2016-11-24 23:46:37.000000,4,23,104.04815,30.6718,2016-11-25 00:06:08.000000,5,0,104.09806,30.60348,5.89,true
2c07311b1db53e869ee5882afca97a5d,320c3ddd3705099ee34f8fca2be0c55f,2016-11-30 17:57:19.000000,3,17,104.105433,30.670265,2016-11-30 18:20:04.000000,3,18,104.14424,30.67282,2.88,false
2c07311b1db53e869ee5882afca97a5d,3d5b8db2c38f6916051ae8b19d701ed6,2016-11-30 19:04:13.000000,3,19,104.164573,30.649639,2016-11-30 19:27:32.000000,3,19,104.111982,30.652019,3.77,false
2c07311b1db53e869ee5882afca97a5d,509bfd86b4517986214d63fe93e48f20,2016-11-30 19:38:18.000000,3,19,104.114807,30.651098,2016-11-30 19:46:00.000000,3,19,104.11274,30.67193,1.83,false
2c07311b1db53e869ee5882afca97a5d,54af70846d2fb64175be4a5069a47cdf,2016-11-30 17:31:27.000000,3,17,104.077272,30.721018,2016-11-30 17:54:18.000000,3,17,104.10874,30.67084,4.07,false
2c07311b1db53e869ee5882afca97a5d,55dd107bafd963f1711a05e646105855,2016-11-30 15:06:36.000000,3,15,104.08821,30.67196,2016-11-30 15:35:55.000000,3,15,103.99456,30.70777,5.31,false
2c07311b1db53e869ee5882afca97a5d,8c0793a6a625fea1d7764e86062e66dd,2016-11-30 16:31:25.000000,3,16,104.02358,30.66469,2016-11-30 17:07:07.000000,3,17,104.07659,30.71671,5.23,false
2c07311b1db53e869ee5882afca97a5d,a26b20cfd9cf40f5ff79093d5309ecad,2016-11-30 19:49:42.000000,3,19,104.11281,30.67175,2016-11-30 20:06:56.000000,3,20,104.14468,30.70685,2.89,false
2c07311b1db53e869ee5882afca97a5d,debdf103e2f6c66d8b03bdb555cba59f,2016-11-30 20:25:21.000000,3,20,104.15457,30.70027,2016-11-30 20:56:48.000000,3,20,104.090519,30.66462,4.7,true
2c07311b1db53e869ee5882afca97a5d,f6c561b5a278670b213012de149d8308,2016-11-30 14:31:40.000000,3,14,104.090401,30.648081,2016-11-30 14:43:13.000000,3,14,104.07964,30.65847,1.83,false
2c07311b1db53e869ee5882afca97a5d,,2016-11-30 14:43:13.000000,3,14,104.07964,30.65847,2016-11-30 15:06:36.000000,3,15,104.08821,30.67196,0,false
2c07311b1db53e869ee5882afca97a5d,,2016-11-30 15:35:55.000000,3,15,103.99456,30.70777,2016-11-30 16:31:25.000000,3,16,104.02358,30.66469,0,false
2c07311b1db53e869ee5882afca97a5d,,2016-11-30 17:07:07.000000,3,17,104.07659,30.71671,2016-11-30 17:31:27.000000,3,17,104.077272,30.721018,0,false
2c07311b1db53e869ee5882afca97a5d,,2016-11-30 17:54:18.000000,3,17,104.10874,30.67084,2016-11-30 17:57:19.000000,3,17,104.105433,30.670265,0,false
2c07311b1db53e869ee5882afca97a5d,,2016-11-30 18:20:04.000000,3,18,104.14424,30.67282,2016-11-30 19:04:13.000000,3,19,104.164573,30.649639,0,false
2c07311b1db53e869ee5882afca97a5d,,2016-11-30 19:27:32.000000,3,19,104.111982,30.652019,2016-11-30 19:38:18.000000,3,19,104.114807,30.651098,0,false
2c07311b1db53e869ee5882afca97a5d,,2016-11-30 19:46:00.000000,3,19,104.11274,30.67193,2016-11-30 19:49:42.000000,3,19,104.11281,30.67175,0,false
2c07311b1db53e869ee5882afca97a5d,,2016-11-30 20:06:56.000000,3,20,104.14468,30.70685,2016-11-30 20:25:21.000000,3,20,104.15457,30.70027,0,false
